M,N,K,tileM,tileN,TimeGPU(ms),PerformanceGPU(GFLOP/s)
512,512,512,32,32,0.110387,2431.76
512,512,512,32,64,0.107827,2489.5
512,512,512,32,128,0.0794624,3378.14
512,512,512,64,32,0.0881664,3044.65
512,512,512,64,64,0.0982016,2733.51
512,512,512,64,128,0.0812032,3305.72
512,512,512,128,32,0.078848,3404.47
512,512,512,128,64,0.0932864,2877.54
512,512,512,128,128,0.0782336,3431.2
512,512,1024,32,32,0.127283,4217.92
512,512,1024,32,64,0.108442,4950.78
512,512,1024,32,128,0.0994304,5399.46
512,512,1024,64,32,0.109056,4922.89
512,512,1024,64,64,0.0997376,5382.83
512,512,1024,64,128,0.10752,4993.22
512,512,1024,128,32,0.0997376,5382.83
512,512,1024,128,64,0.0953344,5631.45
512,512,1024,128,128,0.103424,5190.97
512,512,2048,32,32,0.165683,6480.69
512,512,2048,32,64,0.167219,6421.16
512,512,2048,32,128,0.152576,7037.42
512,512,2048,64,32,0.16855,6370.45
512,512,2048,64,64,0.152986,7018.58
512,512,2048,64,128,0.167424,6413.31
512,512,2048,128,32,0.150733,7123.48
512,512,2048,128,64,0.147866,7261.61
512,512,2048,128,128,0.169472,6335.81
512,1024,512,32,32,0.157286,3413.33
512,1024,512,32,64,0.127898,4197.66
512,1024,512,32,128,0.10967,4895.31
512,1024,512,64,32,0.125952,4262.5
512,1024,512,64,64,0.10793,4974.27
512,1024,512,64,128,0.0984064,5455.65
512,1024,512,128,32,0.107418,4997.98
512,1024,512,128,64,0.0982016,5467.03
512,1024,512,128,128,0.0956416,5613.36
512,1024,1024,32,32,0.22057,4868.04
512,1024,1024,32,64,0.186061,5770.92
512,1024,1024,32,128,0.149094,7201.76
512,1024,1024,64,32,0.18473,5812.51
512,1024,1024,64,64,0.160461,6691.61
512,1024,1024,64,128,0.155136,6921.29
512,1024,1024,128,32,0.164454,6529.12
512,1024,1024,128,64,0.138035,7778.75
512,1024,1024,128,128,0.153907,6976.55
512,1024,2048,32,32,0.286822,7487.15
512,1024,2048,32,64,0.229274,9366.47
512,1024,2048,32,128,0.211149,10170.5
512,1024,2048,64,32,0.24023,8939.27
512,1024,2048,64,64,0.223334,9615.55
512,1024,2048,64,128,0.21463,10005.5
512,1024,2048,128,32,0.22313,9624.38
512,1024,2048,128,64,0.213709,10048.6
512,1024,2048,128,128,0.211558,10150.8
512,2048,512,32,32,0.256307,4189.28
512,2048,512,32,64,0.193536,5548.02
512,2048,512,32,128,0.169267,6343.47
512,2048,512,64,32,0.185754,5780.46
512,2048,512,64,64,0.170189,6309.12
512,2048,512,64,128,0.133018,8072.18
512,2048,512,128,32,0.167629,6405.47
512,2048,512,128,64,0.133734,8028.91
512,2048,512,128,128,0.127078,8449.44
512,2048,1024,32,32,0.327168,6563.86
512,2048,1024,32,64,0.258355,8312.14
512,2048,1024,32,128,0.223949,9589.17
512,2048,1024,64,32,0.252006,8521.54
512,2048,1024,64,64,0.217293,9882.9
512,2048,1024,64,128,0.19927,10776.7
512,2048,1024,128,32,0.216474,9920.3
512,2048,1024,128,64,0.19927,10776.7
512,2048,1024,128,128,0.191078,11238.8
512,2048,2048,32,32,0.495616,8665.92
512,2048,2048,32,64,0.422605,10163.1
512,2048,2048,32,128,0.38912,11037.6
512,2048,2048,64,32,0.383693,11193.8
512,2048,2048,64,64,0.349491,12289.2
512,2048,2048,64,128,0.332186,12929.4
512,2048,2048,128,32,0.348774,12314.5
512,2048,2048,128,64,0.331571,12953.4
512,2048,2048,128,128,0.323994,13256.3
1024,512,512,32,32,0.158618,3384.69
1024,512,512,32,64,0.12841,4180.92
1024,512,512,32,128,0.110285,4868.04
1024,512,512,64,32,0.126259,4252.13
1024,512,512,64,64,0.107622,4988.47
1024,512,512,64,128,0.0987136,5438.67
1024,512,512,128,32,0.107622,4988.47
1024,512,512,128,64,0.0987136,5438.67
1024,512,512,128,128,0.0950272,5649.66
1024,512,1024,32,32,0.202957,5290.49
1024,512,1024,32,64,0.185446,5790.04
1024,512,1024,32,128,0.162714,6598.97
1024,512,1024,64,32,0.18473,5812.5
1024,512,1024,64,64,0.146842,7312.25
1024,512,1024,64,128,0.149709,7172.2
1024,512,1024,128,32,0.161382,6653.4
1024,512,1024,128,64,0.145715,7368.77
1024,512,1024,128,128,0.134758,7967.9
1024,512,2048,32,32,0.287232,7476.48
1024,512,2048,32,64,0.232243,9246.7
1024,512,2048,32,128,0.205619,10444
1024,512,2048,64,32,0.240128,8943.08
1024,512,2048,64,64,0.222925,9633.22
1024,512,2048,64,128,0.213914,10039
1024,512,2048,128,32,0.222925,9633.22
1024,512,2048,128,64,0.213811,10043.8
1024,512,2048,128,128,0.211354,10160.6
1024,1024,512,32,32,0.256102,4192.63
1024,1024,512,32,64,0.192614,5574.57
1024,1024,512,32,128,0.158822,6760.64
1024,1024,512,64,32,0.202957,5290.49
1024,1024,512,64,64,0.153498,6995.17
1024,1024,512,64,128,0.136499,7866.29
1024,1024,512,128,32,0.164045,6545.42
1024,1024,512,128,64,0.132915,8078.4
1024,1024,512,128,128,0.144794,7415.67
1024,1024,1024,32,32,0.32553,6596.89
1024,1024,1024,32,64,0.257843,8328.64
1024,1024,1024,32,128,0.223744,9597.95
1024,1024,1024,64,32,0.250675,8566.8
1024,1024,1024,64,64,0.216474,9920.3
