M,N,K,AverageTime(ms),FLOPs,Performance(GFLOP/s),PerformanceProportion(time/MNK)
128,128,128,0.337818,4.1943e+06,12.4159,3.42187e-07
128,128,256,0.504115,8.38861e+06,16.6403,2.33948e-08
128,128,512,0.709837,1.67772e+07,23.6353,2.43914e-08
128,256,128,0.0141632,8.38861e+06,592.282,2.33726e-08
128,256,256,0.0193824,1.67772e+07,865.59,2.33399e-08
128,256,512,0.0220608,3.35544e+07,1521,2.41848e-08
128,512,128,0.0141504,1.67772e+07,1185.64,2.41006e-08
128,512,256,0.021744,3.35544e+07,1543.16,2.4093e-08
128,512,512,0.02776,6.71089e+07,2417.47,2.48108e-08
256,128,128,0.0141664,8.38861e+06,592.148,2.37668e-08
256,128,256,0.0193376,1.67772e+07,867.596,2.32857e-08
256,128,512,0.0213088,3.35544e+07,1574.67,2.33985e-08
256,256,128,0.014352,1.67772e+07,1168.98,2.29098e-08
256,256,256,0.020816,3.35544e+07,1611.95,2.3794e-08
256,256,512,0.0255328,6.71089e+07,2628.34,2.33751e-08
256,512,128,0.0158144,3.35544e+07,2121.76,2.38063e-08
256,512,256,0.01936,6.71089e+07,3466.37,2.35798e-08
256,512,512,0.0266688,1.34218e+08,5032.76,2.37273e-08
512,128,128,0.0145696,1.67772e+07,1151.52,2.41332e-08
512,128,256,0.020832,3.35544e+07,1610.72,2.36404e-08
512,128,512,6.07309,6.71089e+07,11.0502,2.34935e-08
512,256,128,0.0161824,3.35544e+07,2073.51,2.41069e-08
512,256,256,0.020352,6.71089e+07,3297.41,2.35097e-08
512,256,512,0.0284896,1.34218e+08,4711.11,2.24504e-08
512,512,128,0.019824,6.71089e+07,3385.23,2.36248e-08
512,512,256,0.0256928,1.34218e+08,5223.94,2.21883e-08
512,512,512,0.0369568,2.68435e+08,7263.49,2.2215e-08
