M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
128,128,128,0.697338,0.336691,4.1943e+06,6.01473,12.4574,3.32517e-07
128,128,256,0.0988885,0.504832,8.38861e+06,84.829,16.6166,2.35769e-08
128,128,512,0.207035,0.02304,1.67772e+07,81.0356,728.178,2.46805e-08
128,256,128,0.0971332,0.0141952,8.38861e+06,86.3619,590.947,2.31584e-08
128,256,256,0.192625,0.0194496,1.67772e+07,87.0978,862.6,2.29627e-08
128,256,512,0.396337,0.0218688,3.35544e+07,84.6613,1534.35,2.36235e-08
128,512,128,0.193281,0.0144736,1.67772e+07,86.8021,1159.16,2.30409e-08
128,512,256,0.385875,0.0208832,3.35544e+07,86.9566,1606.77,2.3e-08
128,512,512,0.810916,0.0279136,6.71089e+07,82.7568,2404.16,2.41672e-08
256,128,128,0.0970838,0.0144032,8.38861e+06,86.4058,582.413,2.31466e-08
256,128,256,0.193322,0.0190016,1.67772e+07,86.7836,882.937,2.30458e-08
256,128,512,0.385542,0.0214944,3.35544e+07,87.0319,1561.08,2.29801e-08
256,256,128,0.195341,0.0141664,1.67772e+07,85.8867,1184.3,2.32865e-08
256,256,256,0.380194,0.0202208,3.35544e+07,88.2562,1659.4,2.26613e-08
256,256,512,0.757673,0.0255616,6.71089e+07,88.5723,2625.38,2.25804e-08
256,512,128,0.378689,0.016304,3.35544e+07,88.6069,2058.05,2.25716e-08
256,512,256,0.752032,0.018816,6.71089e+07,89.2368,3566.59,2.24123e-08
256,512,512,1.52059,0.0266976,1.34218e+08,88.2668,5027.33,2.26586e-08
512,128,128,0.206336,0.0147136,1.67772e+07,81.3102,1140.25,2.45972e-08
512,128,256,0.401976,0.0206976,3.35544e+07,83.4738,1621.18,2.39596e-08
512,128,512,0.79248,0.226938,6.71089e+07,84.6821,295.715,2.36177e-08
512,256,128,0.381318,0.016256,3.35544e+07,87.996,2064.13,2.27283e-08
512,256,256,0.757267,0.0202656,6.71089e+07,88.6198,3311.47,2.25683e-08
512,256,512,1.54705,0.0283584,1.34218e+08,86.7571,4732.91,2.30529e-08
512,512,128,0.757834,0.019888,6.71089e+07,88.5535,3374.34,2.25852e-08
512,512,256,1.54541,0.0255712,1.34218e+08,86.8495,5248.78,2.30283e-08
512,512,512,3.03564,0.0370976,2.68435e+08,88.4279,7235.93,2.26173e-08
