M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
256,256,256,1.62107,0.052112,3.35544e+07,20.6989,643.891,9.66234e-08
256,256,512,1.83942,0.021936,6.71089e+07,36.4837,3059.3,5.4819e-08
256,256,1024,3.62713,0.0290336,1.34218e+08,37.0038,4622.84,5.40485e-08
256,256,2048,7.48555,0.0443744,2.68435e+08,35.8605,6049.33,5.57717e-08
256,512,256,1.80733,0.0339584,6.71089e+07,37.1315,1976.21,5.38626e-08
256,512,512,3.52373,0.0289056,1.34218e+08,38.0897,4643.31,5.25077e-08
256,512,1024,7.22246,0.0424192,2.68435e+08,37.1667,6328.16,5.38116e-08
256,512,2048,14.6522,0.0710624,5.36871e+08,36.6409,7554.92,5.45838e-08
256,1024,256,3.52164,0.0312576,1.34218e+08,38.1123,4293.92,5.24765e-08
256,1024,512,6.93218,0.038944,2.68435e+08,38.7231,6892.86,5.16488e-08
256,1024,1024,14.3685,0.058672,5.36871e+08,37.3644,9150.38,5.35269e-08
256,1024,2048,28.6822,0.102246,1.07374e+09,37.4358,10501.5,5.34248e-08
256,2048,256,6.96922,0.0394464,2.68435e+08,38.5173,6805.07,5.19248e-08
256,2048,512,14.0748,0.0635392,5.36871e+08,38.1442,8449.45,5.24326e-08
256,2048,1024,28.0832,0.100077,1.07374e+09,38.2343,10729.2,5.23091e-08
256,2048,2048,57.0318,0.161878,2.14748e+09,37.6541,13266,5.3115e-08
512,256,256,1.76286,0.0218496,6.71089e+07,38.0681,3071.4,5.25375e-08
512,256,512,3.42049,0.029024,1.34218e+08,39.2393,4624.37,5.09693e-08
512,256,1024,6.94731,0.0429056,2.68435e+08,38.6388,6256.42,5.17615e-08
512,256,2048,14.616,0.0708832,5.36871e+08,36.7317,7574.02,5.44489e-08
512,512,256,3.34011,0.0266848,1.34218e+08,40.1837,5029.74,4.97714e-08
512,512,512,6.7061,0.0372736,2.68435e+08,40.0285,7201.76,4.99644e-08
512,512,1024,13.8882,0.0593312,5.36871e+08,38.6566,9048.71,5.17376e-08
512,512,2048,28.5998,0.100851,1.07374e+09,37.5436,10646.8,5.32714e-08
512,1024,256,6.73663,0.040752,2.68435e+08,39.8472,6587.05,5.01918e-08
512,1024,512,13.5021,0.057648,5.36871e+08,39.7621,9312.91,5.02991e-08
512,1024,1024,27.506,0.114605,1.07374e+09,39.0367,9369.08,5.12339e-08
512,1024,2048,56.3488,0.163002,2.14748e+09,38.1105,13174.6,5.24789e-08
512,2048,256,13.4504,0.0533728,5.36871e+08,39.9148,10058.9,5.01068e-08
512,2048,512,27.2943,0.0861952,1.07374e+09,39.3395,12457.1,5.08395e-08
512,2048,1024,56.8375,0.170102,2.14748e+09,37.7829,12624.7,5.2934e-08
512,2048,2048,111.672,0.29143,4.29497e+09,38.4607,14737.5,5.20011e-08
1024,256,256,3.3556,0.0280832,1.34218e+08,39.9981,4779.29,5.00024e-08
1024,256,512,6.80367,0.0375328,2.68435e+08,39.4545,7152.02,5.06913e-08
1024,256,1024,14.0004,0.0579968,5.36871e+08,38.3467,9256.91,5.21557e-08
1024,256,2048,28.0964,0.101466,1.07374e+09,38.2164,10582.3,5.23336e-08
1024,512,256,6.51127,0.0384192,2.68435e+08,41.2263,6987.01,4.85128e-08
1024,512,512,13.3734,0.0598176,5.36871e+08,40.1448,8975.13,4.98197e-08
1024,512,1024,27.5197,0.100086,1.07374e+09,39.0173,10728.1,5.12594e-08
