M,N,K,AverageTime(ms),FLOPs,PerformanceProportion(time/MNK)
128,128,128,0.701868,4.1943e+06,3.34677e-07
128,128,256,0.0985047,8.38861e+06,2.34854e-08
128,128,512,0.203173,1.67772e+07,2.42201e-08
128,256,128,0.0974879,8.38861e+06,2.32429e-08
128,256,256,0.197867,1.67772e+07,2.35876e-08
128,256,512,0.398442,3.35544e+07,2.3749e-08
128,512,128,0.200744,1.67772e+07,2.39306e-08
128,512,256,0.394855,3.35544e+07,2.35352e-08
128,512,512,0.803316,6.71089e+07,2.39407e-08
256,128,128,0.0986951,8.38861e+06,2.35307e-08
256,128,256,0.189337,1.67772e+07,2.25707e-08
256,128,512,0.386537,3.35544e+07,2.30394e-08
256,256,128,0.190032,1.67772e+07,2.26536e-08
256,256,256,0.39719,3.35544e+07,2.36744e-08
256,256,512,0.783064,6.71089e+07,2.33371e-08
256,512,128,0.384273,3.35544e+07,2.29045e-08
256,512,256,0.788955,6.71089e+07,2.35127e-08
256,512,512,1.5225,1.34218e+08,2.26871e-08
512,128,128,0.192649,1.67772e+07,2.29656e-08
512,128,256,0.385806,3.35544e+07,2.29958e-08
512,128,512,0.765955,6.71089e+07,2.28272e-08
512,256,128,0.37871,3.35544e+07,2.25729e-08
512,256,256,0.785158,6.71089e+07,2.33995e-08
512,256,512,1.48852,1.34218e+08,2.21807e-08
512,512,128,0.786485,6.71089e+07,2.34391e-08
512,512,256,1.55234,1.34218e+08,2.31316e-08
512,512,512,3.09899,2.68435e+08,2.30892e-08
