M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
1024,1024,1024,55.2783,0.189936,2.14748e+09,38.8486,11306.4,5.14819e-08
1124,1124,1124,64.8304,0.234806,2.84007e+09,43.8077,12095.4,6.0378e-08
1224,1224,1224,81.3538,0.293738,3.66753e+09,45.0813,12485.8,7.57666e-08
1324,1324,1324,105.04,0.34143,4.64188e+09,44.1915,13595.4,9.78262e-08
1424,1424,1424,131.582,0.39985,5.77511e+09,43.8899,14443.2,1.22545e-07
1524,1524,1524,158.158,0.478451,7.07921e+09,44.7603,14796.1,1.47296e-07
1624,1624,1624,197.733,0.581581,8.5662e+09,43.3221,14729.2,1.84153e-07
1724,1724,1724,235.669,0.661824,1.02481e+10,43.4849,15484.6,2.19484e-07
1824,1824,1824,273.667,0.787107,1.21368e+10,44.3489,15419.5,2.54872e-07
1924,1924,1924,326.406,0.913411,1.42444e+10,43.6402,15594.8,3.0399e-07
