M,N,K,AverageTime(ms),FLOPs,Performance(GFLOP/s),PerformanceProportion(time/MNK)
128,128,128,0.673247,4.1943e+06,6.22996,3.21029e-07
128,128,256,0.0983514,8.38861e+06,85.2922,2.34488e-08
128,128,512,0.202246,1.67772e+07,82.9544,2.41096e-08
128,256,128,0.0961813,8.38861e+06,87.2166,2.29314e-08
128,256,256,0.193353,1.67772e+07,86.7701,2.30494e-08
128,256,512,0.400667,3.35544e+07,83.7464,2.38816e-08
128,512,128,0.191454,1.67772e+07,87.6306,2.28231e-08
128,512,256,0.383439,3.35544e+07,87.5092,2.28547e-08
128,512,512,0.786766,6.71089e+07,85.2971,2.34475e-08
256,128,128,0.0989044,8.38861e+06,84.8153,2.35806e-08
256,128,256,0.191686,1.67772e+07,87.5243,2.28508e-08
256,128,512,0.386676,3.35544e+07,86.7766,2.30477e-08
256,256,128,0.199711,1.67772e+07,84.0076,2.38074e-08
256,256,256,0.377804,3.35544e+07,88.8144,2.25189e-08
256,256,512,0.753934,6.71089e+07,89.0116,2.2469e-08
256,512,128,0.376871,3.35544e+07,89.0341,2.24633e-08
256,512,256,0.747266,6.71089e+07,89.8059,2.22703e-08
256,512,512,1.49457,1.34218e+08,89.8039,2.22708e-08
512,128,128,0.207534,1.67772e+07,80.8407,2.474e-08
512,128,256,0.409211,3.35544e+07,81.9978,2.43909e-08
512,128,512,0.803889,6.71089e+07,83.4802,2.39578e-08
512,256,128,0.401983,3.35544e+07,83.4724,2.396e-08
512,256,256,0.750166,6.71089e+07,89.4586,2.23567e-08
512,256,512,1.55855,1.34218e+08,86.1169,2.32242e-08
512,512,128,0.747364,6.71089e+07,89.7941,2.22732e-08
512,512,256,1.47808,1.34218e+08,90.8055,2.20251e-08
512,512,512,3.00983,2.68435e+08,89.1862,2.2425e-08
