M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
1024,1024,1024,56.839,0.19287,2.14748e+09,37.7818,11134.3,5.29355e-08
1024,1024,2048,107.648,0.28184,4.29497e+09,39.8984,15239,5.01274e-08
1024,1024,4096,213.668,0.54369,8.58993e+09,40.2022,15799.3,4.97485e-08
1024,1024,8192,428.035,1.08719,1.71799e+10,40.1366,15802.1,4.98299e-08
1024,2048,1024,108.591,0.31753,4.29497e+09,39.5517,13526.2,5.05667e-08
1024,2048,2048,234.489,0.558128,8.58993e+09,36.6326,15390.6,5.45962e-08
1024,2048,4096,428.857,1.08045,1.71799e+10,40.0597,15900.6,4.99255e-08
1024,2048,8192,853.421,2.11008,3.43597e+10,40.2612,16283.6,4.96756e-08
1024,4096,1024,217.517,0.55065,8.58993e+09,39.4909,15599.6,5.06446e-08
1024,4096,2048,431.863,1.07876,1.71799e+10,39.7809,15925.6,5.02754e-08
1024,4096,4096,884.861,2.0226,3.43597e+10,38.8306,16987.9,5.15057e-08
1024,4096,8192,1786.8,3.99304,6.87195e+10,38.4596,17209.8,5.20026e-08
1024,8192,1024,434.671,1.03296,1.71799e+10,39.5239,16631.7,5.06023e-08
1024,8192,2048,861.61,2.01727,3.43597e+10,39.8785,17032.8,5.01523e-08
1024,8192,4096,1759.99,4.027,6.87195e+10,39.0454,17064.7,5.12224e-08
1024,8192,8192,3519.69,7.98626,1.37439e+11,39.0486,17209.4,5.12182e-08
2048,1024,1024,106.577,0.271776,4.29497e+09,40.2993,15803.3,4.96287e-08
2048,1024,2048,199.289,0.556685,8.58993e+09,43.103,15430.5,4.64005e-08
2048,1024,4096,397.408,1.09999,1.71799e+10,43.2298,15618.2,4.62644e-08
2048,1024,8192,796.115,2.10927,3.43597e+10,43.1593,16289.9,4.634e-08
2048,2048,1024,199.952,0.55071,8.58993e+09,42.96,15597.9,4.6555e-08
2048,2048,2048,404.772,1.06685,1.71799e+10,42.4433,16103.3,4.71217e-08
2048,2048,4096,809.656,2.10038,3.43597e+10,42.4375,16358.8,4.71282e-08
2048,2048,8192,1617.94,3.99206,6.87195e+10,42.4735,17214,4.70882e-08
2048,4096,1024,398.068,1.09168,1.71799e+10,43.1581,15737,4.63412e-08
2048,4096,2048,807.747,2.08353,3.43597e+10,42.5377,16491.1,4.70171e-08
2048,4096,4096,1617.78,4.01885,6.87195e+10,42.4776,17099.3,4.70836e-08
