M,N,K,AverageTime(ms),FLOPs,Performance(GFLOP/s),PerformanceProportion(time/MNK)
128,128,128,0.327373,4.1943e+06,12.812,3.18554e-07
128,128,256,0.495206,8.38861e+06,16.9396,2.34433e-08
128,128,512,0.0217088,1.67772e+07,772.83,2.44654e-08
128,256,128,0.0140672,8.38861e+06,596.324,2.30697e-08
128,256,256,0.0192448,1.67772e+07,871.779,2.26965e-08
128,256,512,0.0221408,3.35544e+07,1515.5,2.37553e-08
128,512,128,0.0141504,1.67772e+07,1185.64,2.29599e-08
128,512,256,0.0205408,3.35544e+07,1633.55,2.28658e-08
128,512,512,0.0275552,6.71089e+07,2435.43,2.33883e-08
256,128,128,0.0140288,8.38861e+06,597.956,2.29888e-08
256,128,256,0.0198784,1.67772e+07,843.992,2.28721e-08
256,128,512,0.0217664,3.35544e+07,1541.57,2.31594e-08
256,256,128,0.014192,1.67772e+07,1182.16,2.32812e-08
256,256,256,0.0203872,3.35544e+07,1645.86,2.26195e-08
256,256,512,0.0252032,6.71089e+07,2662.71,2.26558e-08
256,512,128,0.0154752,3.35544e+07,2168.27,2.26104e-08
256,512,256,0.019072,6.71089e+07,3518.71,2.24734e-08
256,512,512,0.026384,1.34218e+08,5087.09,2.25665e-08
512,128,128,0.0141888,1.67772e+07,1182.43,2.45345e-08
512,128,256,0.0207136,3.35544e+07,1619.92,2.37211e-08
512,128,512,0.228659,6.71089e+07,293.489,2.37115e-08
512,256,128,0.0158752,3.35544e+07,2113.64,2.28349e-08
512,256,256,0.0199104,6.71089e+07,3370.54,2.25268e-08
512,256,512,0.028208,1.34218e+08,4758.14,2.28806e-08
512,512,128,0.0197888,6.71089e+07,3391.25,2.25119e-08
512,512,256,0.0258048,1.34218e+08,5201.27,2.29536e-08
512,512,512,0.03744,2.68435e+08,7169.75,2.26761e-08
