M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
128,128,128,0.784002,5.13493,4.1943e+06,5.34986,0.816819,3.73841e-07
128,128,256,0.296441,0.774733,8.38861e+06,28.2978,10.8277,7.0677e-08
128,128,512,0.534339,0.0181888,1.67772e+07,31.3981,922.393,6.36982e-08
128,256,128,0.261546,0.011952,8.38861e+06,32.0732,701.858,6.23574e-08
128,256,256,0.555725,0.0142656,1.67772e+07,30.1898,1176.06,6.62476e-08
128,256,512,1.08282,0.0180192,3.35544e+07,30.9881,1862.15,6.45408e-08
128,512,128,0.516261,0.01288,1.67772e+07,32.4975,1302.58,6.15431e-08
128,512,256,1.0834,0.014592,3.35544e+07,30.9715,2299.51,6.45755e-08
128,512,512,2.13134,0.0186976,6.71089e+07,31.4867,3589.17,6.35188e-08
256,128,128,0.227065,0.0125568,8.38861e+06,36.9436,668.053,5.41365e-08
256,128,256,0.463954,0.0140704,1.67772e+07,36.1614,1192.38,5.53076e-08
256,128,512,0.940265,0.0180736,3.35544e+07,35.6862,1856.54,5.60441e-08
256,256,128,0.439797,0.0126592,1.67772e+07,38.1476,1325.3,5.24279e-08
256,256,256,0.895043,0.0146048,3.35544e+07,37.4892,2297.49,5.33487e-08
256,256,512,1.80822,0.0183328,6.71089e+07,37.1132,3660.59,5.38891e-08
256,512,128,0.861315,1.13942,3.35544e+07,38.9572,29.4487,5.13384e-08
256,512,256,1.77354,0.01912,6.71089e+07,37.8389,3509.88,5.28557e-08
256,512,512,3.54466,0.0257376,1.34218e+08,37.8647,5214.85,5.28196e-08
512,128,128,0.443795,0.0130784,1.67772e+07,37.804,1282.82,5.29044e-08
512,128,256,0.882049,0.0145568,3.35544e+07,38.0415,2305.07,5.25742e-08
512,128,512,1.76041,0.0186848,6.71089e+07,38.1211,3591.63,5.24644e-08
512,256,128,0.857237,0.0156672,3.35544e+07,39.1425,2141.7,5.10953e-08
512,256,256,1.71111,0.0189344,6.71089e+07,39.2196,3544.28,5.09949e-08
512,256,512,3.41313,0.0255936,1.34218e+08,39.3239,5244.19,5.08596e-08
512,512,128,1.74015,0.0188896,6.71089e+07,38.565,3552.69,5.18605e-08
512,512,256,3.42109,0.024192,1.34218e+08,39.2324,5548.02,5.09783e-08
512,512,512,6.6226,0.0344,2.68435e+08,40.5332,7803.35,4.93422e-08
