M,N,K,AverageTimeCPU(ms),AverageTimeGPU(ms),FLOPs,PerformanceCPU(GFLOP/s),PerformanceGPU(GFLOP/s),PerformanceProportion(time/MNK)
1024,1024,1024,55.6256,0.188659,2.14748e+09,38.606,11382.9,5.18054e-08
1124,1124,1124,64.6343,0.235299,2.84007e+09,43.9406,12070,4.5516e-08
1224,1224,1224,81.6218,0.294029,3.66753e+09,44.9333,12473.4,4.45104e-08
1324,1324,1324,106.824,0.350506,4.64188e+09,43.4535,13243.4,4.60262e-08
1424,1424,1424,134.279,0.409363,5.77511e+09,43.0082,14107.5,4.65028e-08
1524,1524,1524,155.858,0.470035,7.07921e+09,45.4208,15061,4.40327e-08
1624,1624,1624,193.002,0.581731,8.5662e+09,44.3839,14725.4,4.50614e-08
1724,1724,1724,232.09,0.658595,1.02481e+10,44.1556,15560.5,4.52944e-08
1824,1824,1824,267.238,0.786048,1.21368e+10,45.4157,15440.3,4.40377e-08
1924,1924,1924,319.773,0.91249,1.42444e+10,44.5455,15610.5,4.48979e-08
