M,N,K,AverageTime(ms),FLOPs,PerformanceProportion(time/MNK)
128,128,128,3.54151,4.1943e+06,1.68872e-06
128,128,256,0.103138,8.38861e+06,2.459e-08
128,128,512,0.139225,1.67772e+07,1.6597e-08
128,256,128,0.0657612,8.38861e+06,1.56787e-08
128,256,256,0.0957927,1.67772e+07,1.14194e-08
128,256,512,0.19156,3.35544e+07,1.14179e-08
128,512,128,0.091626,1.67772e+07,1.09227e-08
128,512,256,0.191223,3.35544e+07,1.13978e-08
128,512,512,0.373676,6.71089e+07,1.11364e-08
256,128,128,0.0537407,8.38861e+06,1.28128e-08
256,128,256,0.0977921,1.67772e+07,1.16577e-08
256,128,512,0.166769,3.35544e+07,9.94022e-09
256,256,128,0.126018,1.67772e+07,1.50226e-08
256,256,256,0.21975,3.35544e+07,1.30981e-08
256,256,512,0.359715,6.71089e+07,1.07203e-08
256,512,128,0.172671,3.35544e+07,1.0292e-08
256,512,256,0.414381,6.71089e+07,1.23495e-08
256,512,512,0.726863,1.34218e+08,1.08311e-08
512,128,128,0.0908868,1.67772e+07,1.08346e-08
512,128,256,0.180767,3.35544e+07,1.07746e-08
512,128,512,0.323252,6.71089e+07,9.63366e-09
512,256,128,0.172027,3.35544e+07,1.02536e-08
512,256,256,0.35977,6.71089e+07,1.0722e-08
512,256,512,0.71628,1.34218e+08,1.06734e-08
512,512,128,0.352018,6.71089e+07,1.04909e-08
512,512,256,0.717846,1.34218e+08,1.06967e-08
512,512,512,1.4235,2.68435e+08,1.06059e-08
